epic,sector_desc
B0M6351,Equity ETI by Area - FTSE 100
B0M6351,Equity ETI by Area - FTSE 250
B0M6351,Equity ETI by Area - Japan
B0M6351,Equity ETI by Area - Latin & South America
B0M6351,Equity ETI by Area - North America
B0M6351,Equity ETI by Area - Other
B0M6351,Equity ETI by Area - Russia
B0M6351,Equity ETI by Area - UK
B0M6351,Equity ETI by Area - World
B0M6351,Equity ETI by Sector - Banks & Financials
B0M6351,Equity ETI by Sector - Basic Materials
B0M6351,Equity ETI by Sector - Consumer goods
B0M6351,Equity ETI by Sector - Energy
B0M6351,Equity ETI by Sector - Health
B0M6351,Equity ETI by Sector - Industrials
B0M6351,Equity ETI by Sector - Large Mid Small and Micro Cap
B0M6351,Equity ETI by Sector - Oil & Gas
B0M6351,Equity ETI by Sector - Property
B0M6351,Equity ETI by Sector - Technology
B0M6351,Equity ETI by Sector - Telecoms
B0M6351,Equity ETI by Sector - Utilities
B0M6351,Equity ETI by Sector - Volatility Index
B0M6362,Equity ETI by Area - Asia Pacific
B0M6373,Equity ETI by Area - Asia Pacific
B0M6395,Equity ETI by Area - Europe
B0N7FB3,Equity ETI by Sector - Industrials
B0PZMK3,Equity ETI by Area - North America
B0Q4PD3,Equity ETI by Sector - Banks & Financials
B0Q4PJ9,Equity ETI by Sector - Banks & Financials
B0Q4PL1,Equity ETI by Area - North America
B0SY070,Equity ETI by Area - North America
B0V3SW5,Equity ETI by Area - North America
B0XV6J0,Commodity ETI - Composite
B0Y90K2,Equity ETI by Sector - Health
B0Y90L3,Equity ETI by Sector - Property
B0Y90M4,Equity ETI by Sector - Technology
B10R4G1,Equity ETI by Area - North America
B10R4H2,Equity ETI by Area - North America
B10R4K5,Equity ETI by Area - North America
B11C885,Equity ETI by Area - North America
B1263G9,Equity ETI by Area - Asia Pacific
B13HMB9,Equity ETI by Sector - Technology
B13HML9,Equity ETI by Area - North America
B13V1N6,Equity ETI by Area - North America
B13YTD1,Commodity ETI - Silver
B13ZSB5,Equity ETI by Area - Europe
B14MFP8,Equity ETI by Sector - Energy
B14MFQ9,Equity ETI by Sector - Energy
B14MFW5,Equity ETI by Sector - Health
B14MFX6,Equity ETI by Sector - Health
B14MFY7,Equity ETI by Sector - Health
B14MFZ8,Equity ETI by Sector - Banks & Financials
B14MG00,Equity ETI by Sector - Banks & Financials
B14MG33,Equity ETI by Sector - Banks & Financials
B14MG44,Equity ETI by Sector - Technology
B14MG88,Equity ETI by Sector - Property
B14X4M1,Equity ETI by Area - North America
B14X4N2,Equity ETI by Area - Europe
B14X4T8,Equity ETI by Area - Asia Pacific
B15KXV3,Commodity ETI - Agriculture
B15KXV3,Commodity ETI - Composite
B15KXV3,Commodity ETI - Energy
B15KXV3,Commodity ETI - Gold
B15KXV3,Commodity ETI - Industrial Metals
B15KXV3,Commodity ETI - Livestock
